,tweet_id,favorites,retweets,date_time
0,892420643555336193,34995,7343,2017-08-01 16:23:56+00:00
1,892177421306343426,30300,5479,2017-08-01 00:17:27+00:00
2,891815181378084864,22791,3623,2017-07-31 00:18:03+00:00
3,891689557279858688,38258,7532,2017-07-30 15:58:51+00:00
4,891327558926688256,36539,8113,2017-07-29 16:00:24+00:00
5,891087950875897856,18429,2715,2017-07-29 00:08:17+00:00
6,890971913173991426,10719,1757,2017-07-28 16:27:12+00:00
7,890729181411237888,58953,16467,2017-07-28 00:22:40+00:00
8,890609185150312448,25360,3768,2017-07-27 16:25:51+00:00
9,890240255349198849,28943,6377,2017-07-26 15:59:51+00:00
10,890006608113172480,27903,6405,2017-07-26 00:31:25+00:00
11,889880896479866881,25370,4342,2017-07-25 16:11:53+00:00
12,889665388333682689,43570,8730,2017-07-25 01:55:32+00:00
13,889638837579907072,24500,3896,2017-07-25 00:10:02+00:00
14,889531135344209921,13801,1966,2017-07-24 17:02:04+00:00
15,889278841981685760,22863,4637,2017-07-24 00:19:32+00:00
16,888917238123831296,26473,3906,2017-07-23 00:22:39+00:00
17,888804989199671297,23241,3701,2017-07-22 16:56:37+00:00
18,888554962724278272,17918,3008,2017-07-22 00:23:06+00:00
19,888078434458587136,19808,3033,2017-07-20 16:49:33+00:00
20,887705289381826560,27548,4713,2017-07-19 16:06:48+00:00
21,887517139158093824,42139,10265,2017-07-19 03:39:09+00:00
22,887473957103951883,62333,15684,2017-07-19 00:47:34+00:00
23,887343217045368832,30571,9200,2017-07-18 16:08:03+00:00
24,887101392804085760,27872,5206,2017-07-18 00:07:08+00:00
25,886983233522544640,31556,6661,2017-07-17 16:17:36+00:00
26,886736880519319552,10854,2765,2017-07-16 23:58:41+00:00
27,886680336477933568,20438,3905,2017-07-16 20:14:00+00:00
28,886366144734445568,19189,2760,2017-07-15 23:25:31+00:00
29,886267009285017600,107,3,2017-07-15 16:51:35+00:00
30,886258384151887873,25433,5518,2017-07-15 16:17:19+00:00
31,886054160059072513,0,96,2017-07-15 02:45:48+00:00
32,885984800019947520,29593,5854,2017-07-14 22:10:11+00:00
33,885528943205470208,32672,5577,2017-07-13 15:58:47+00:00
34,885518971528720385,18617,3261,2017-07-13 15:19:09+00:00
35,885311592912609280,0,16128,2017-07-13 01:35:06+00:00
36,885167619883638784,19885,3817,2017-07-12 16:03:00+00:00
37,884925521741709313,69839,15751,2017-07-12 00:01:00+00:00
38,884876753390489601,25267,4876,2017-07-11 20:47:12+00:00
39,884562892145688576,22083,4098,2017-07-11 00:00:02+00:00
40,884441805382717440,24654,4973,2017-07-10 15:58:53+00:00
41,884247878851493888,65782,17725,2017-07-10 03:08:17+00:00
42,884162670584377345,18540,2613,2017-07-09 21:29:42+00:00
43,883838122936631299,19854,2984,2017-07-09 00:00:04+00:00
44,883482846933004288,41635,8624,2017-07-08 00:28:19+00:00
45,883360690899218434,20613,3213,2017-07-07 16:22:55+00:00
46,883117836046086144,33693,5789,2017-07-07 00:17:54+00:00
47,882992080364220416,21707,3384,2017-07-06 15:58:11+00:00
48,882762694511734784,25663,4263,2017-07-06 00:46:41+00:00
49,882627270321602560,25485,5289,2017-07-05 15:48:34+00:00
50,882268110199369728,40651,10097,2017-07-04 16:01:23+00:00
51,882045870035918850,26634,4246,2017-07-04 01:18:17+00:00
52,881906580714921986,22149,2970,2017-07-03 16:04:48+00:00
53,881666595344535552,46074,9327,2017-07-03 00:11:11+00:00
54,881633300179243008,114,8,2017-07-02 21:58:53+00:00
55,881536004380872706,44960,13991,2017-07-02 15:32:16+00:00
56,881268444196462592,21180,4643,2017-07-01 21:49:04+00:00
57,880935762899988482,15551,2441,2017-06-30 23:47:07+00:00
58,880872448815771648,19369,3336,2017-06-30 19:35:32+00:00
59,880465832366813184,25852,5429,2017-06-29 16:39:47+00:00
60,880221127280381952,24466,3626,2017-06-29 00:27:25+00:00
61,880095782870896641,25125,3802,2017-06-28 16:09:20+00:00
62,879862464715927552,20367,3045,2017-06-28 00:42:13+00:00
63,879674319642796034,288,10,2017-06-27 12:14:36+00:00
64,879492040517615616,21371,2769,2017-06-27 00:10:17+00:00
65,879415818425184262,96098,39029,2017-06-26 19:07:24+00:00
66,879376492567855104,15347,2742,2017-06-26 16:31:08+00:00
67,879130579576475649,0,5973,2017-06-26 00:13:58+00:00
68,879050749262655488,20516,4126,2017-06-25 18:56:45+00:00
69,879008229531029506,17316,2343,2017-06-25 16:07:47+00:00
70,878776093423087618,17665,3598,2017-06-25 00:45:22+00:00
71,878604707211726852,27364,6186,2017-06-24 13:24:20+00:00
72,878404777348136964,0,1117,2017-06-24 00:09:53+00:00
73,878316110768087041,0,5793,2017-06-23 18:17:33+00:00
74,878281511006478336,7022,1117,2017-06-23 16:00:04+00:00
75,878057613040115712,38343,5973,2017-06-23 01:10:23+00:00
76,877736472329191424,71944,16570,2017-06-22 03:54:17+00:00
77,877611172832227328,0,71,2017-06-21 19:36:23+00:00
78,877556246731214848,20663,3321,2017-06-21 15:58:08+00:00
79,877316821321428993,25002,4563,2017-06-21 00:06:44+00:00
80,877201837425926144,24675,4864,2017-06-20 16:29:50+00:00
81,876838120628539392,18863,2925,2017-06-19 16:24:33+00:00
82,876537666061221889,21691,4127,2017-06-18 20:30:39+00:00
83,876484053909872640,17125,2079,2017-06-18 16:57:37+00:00
84,876120275196170240,25546,4083,2017-06-17 16:52:05+00:00
85,875747767867523072,22919,3754,2017-06-16 16:11:53+00:00
86,875144289856114688,20010,4301,2017-06-15 00:13:52+00:00
87,875097192612077568,25058,5350,2017-06-14 21:06:43+00:00
88,875021211251597312,23316,4148,2017-06-14 16:04:48+00:00
89,874680097055178752,25407,4079,2017-06-13 17:29:20+00:00
90,874434818259525634,0,12767,2017-06-13 01:14:41+00:00
91,874296783580663808,23815,3636,2017-06-12 16:06:11+00:00
92,874057562936811520,20778,3510,2017-06-12 00:15:36+00:00
93,874012996292530176,31192,8981,2017-06-11 21:18:31+00:00
94,873580283840344065,22162,3465,2017-06-10 16:39:04+00:00
95,873337748698140672,0,1393,2017-06-10 00:35:19+00:00
96,873213775632977920,6546,1393,2017-06-09 16:22:42+00:00
97,872967104147763200,24916,4763,2017-06-09 00:02:31+00:00
98,872820683541237760,13495,3286,2017-06-08 14:20:41+00:00
99,872620804844003328,18983,3216,2017-06-08 01:06:27+00:00
100,872486979161796608,37311,8040,2017-06-07 16:14:40+00:00
101,872122724285648897,31340,7166,2017-06-06 16:07:15+00:00
102,871879754684805121,34341,9657,2017-06-06 00:01:46+00:00
103,871762521631449091,18508,3079,2017-06-05 16:15:56+00:00
104,871515927908634625,18497,3068,2017-06-04 23:56:03+00:00
105,871166179821445120,0,5065,2017-06-04 00:46:17+00:00
106,871102520638267392,19184,4882,2017-06-03 20:33:19+00:00
107,871032628920680449,20857,3373,2017-06-03 15:55:36+00:00
108,870804317367881728,30836,5478,2017-06-03 00:48:22+00:00
109,870726314365509632,110,3,2017-06-02 19:38:25+00:00
110,870656317836468226,11264,2305,2017-06-02 15:00:16+00:00
111,870374049280663552,76432,23681,2017-06-01 20:18:38+00:00
112,870308999962521604,20126,3682,2017-06-01 16:00:09+00:00
113,870063196459192321,33510,7380,2017-05-31 23:43:25+00:00
114,869772420881756160,39194,9041,2017-05-31 04:27:59+00:00
115,869702957897576449,25898,5593,2017-05-30 23:51:58+00:00
116,869596645499047938,14689,2764,2017-05-30 16:49:31+00:00
117,869227993411051520,18775,3346,2017-05-29 16:24:37+00:00
118,868880397819494401,60034,12817,2017-05-28 17:23:24+00:00
119,868639477480148993,0,1831,2017-05-28 01:26:04+00:00
120,868622495443632128,24470,4704,2017-05-28 00:18:35+00:00
121,868552278524837888,9276,1831,2017-05-27 19:39:34+00:00
122,867900495410671616,22325,3735,2017-05-26 00:29:37+00:00
123,867774946302451713,31304,6542,2017-05-25 16:10:44+00:00
124,867421006826221569,14800,2225,2017-05-24 16:44:18+00:00
125,867072653475098625,0,106,2017-05-23 17:40:04+00:00
126,867051520902168576,29686,7058,2017-05-23 16:16:06+00:00
127,866720684873056260,18432,4307,2017-05-22 18:21:28+00:00
128,866686824827068416,17758,3094,2017-05-22 16:06:55+00:00
129,866450705531457537,112685,31585,2017-05-22 00:28:40+00:00
130,866334964761202691,48243,12767,2017-05-21 16:48:45+00:00
131,866094527597207552,0,7505,2017-05-21 00:53:21+00:00
132,865718153858494464,23752,5054,2017-05-19 23:57:46+00:00
133,865359393868664832,24440,4493,2017-05-19 00:12:11+00:00
134,865006731092295680,25902,6952,2017-05-18 00:50:50+00:00
135,864873206498414592,29805,7813,2017-05-17 16:00:15+00:00
136,864279568663928832,13511,2708,2017-05-16 00:41:21+00:00
137,864197398364647424,27676,7936,2017-05-15 19:14:50+00:00
138,863907417377173506,19102,3735,2017-05-15 00:02:33+00:00
139,863553081350529029,14122,3784,2017-05-14 00:34:33+00:00
140,863471782782697472,0,2174,2017-05-13 19:11:30+00:00
141,863432100342583297,22030,4736,2017-05-13 16:33:49+00:00
142,863427515083354112,2030,84,2017-05-13 16:15:35+00:00
143,863079547188785154,8145,1003,2017-05-12 17:12:53+00:00
144,863062471531167744,7802,2174,2017-05-12 16:05:02+00:00
145,862831371563274240,17786,4636,2017-05-12 00:46:44+00:00
146,862722525377298433,15868,3213,2017-05-11 17:34:13+00:00
147,862457590147678208,18925,4446,2017-05-11 00:01:27+00:00
148,862096992088072192,68684,20903,2017-05-10 00:08:34+00:00
149,861383897657036800,33488,9698,2017-05-08 00:54:59+00:00
150,861288531465048066,15934,3743,2017-05-07 18:36:02+00:00
151,861005113778896900,15517,3466,2017-05-06 23:49:50+00:00
152,860981674716409858,0,1935,2017-05-06 22:16:42+00:00
153,860924035999428608,0,710,2017-05-06 18:27:40+00:00
154,860563773140209665,6963,1935,2017-05-05 18:36:06+00:00
155,860524505164394496,22012,4802,2017-05-05 16:00:04+00:00
