tweet_id,text,name,img_num,p1,p2,p3,favorites,retweets,date_time,dog_type,rating
666020888022790149,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,,1,Welsh_springer_spaniel,collie,Shetland_sheepdog,2344,443,2015-11-15 22:32:08+00:00,,8.0
666029285002620928,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,a,1,redbone,miniature_pinscher,Rhodesian_ridgeback,117,41,2015-11-15 23:05:30+00:00,,7.0
666033412701032449,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,a,1,German_shepherd,malinois,bloodhound,107,39,2015-11-15 23:21:54+00:00,,9.0
666044226329800704,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,a,1,Rhodesian_ridgeback,redbone,miniature_pinscher,259,122,2015-11-16 00:04:52+00:00,,6.0
666049248165822465,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,,1,miniature_pinscher,Rottweiler,Doberman,93,38,2015-11-16 00:24:50+00:00,,5.0
666050758794694657,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,a,1,Bernese_mountain_dog,English_springer,Greater_Swiss_Mountain_dog,119,51,2015-11-16 00:30:50+00:00,,10.0
666051853826850816,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,an,1,,,,1082,740,2015-11-16 00:35:11+00:00,,2.0
666055525042405380,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,a,1,chow,Tibetan_mastiff,,393,211,2015-11-16 00:49:46+00:00,,10.0
666057090499244032,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,a,1,,,golden_retriever,263,117,2015-11-16 00:55:59+00:00,,9.0
666058600524156928,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,the,1,miniature_poodle,komondor,soft-coated_wheaten_terrier,103,49,2015-11-16 01:01:59+00:00,,8.0
666063827256086533,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,the,1,golden_retriever,Tibetan_mastiff,Labrador_retriever,431,188,2015-11-16 01:22:45+00:00,,10.0
666071193221509120,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,,1,Gordon_setter,Yorkshire_terrier,Pekinese,134,52,2015-11-16 01:52:02+00:00,,9.0
666073100786774016,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,,1,Walker_hound,English_foxhound,Ibizan_hound,280,140,2015-11-16 01:59:36+00:00,,10.0
666082916733198337,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7,,1,pug,bull_mastiff,French_bulldog,100,41,2015-11-16 02:38:37+00:00,,6.0
666094000022159362,This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with https://t.co/mnioXo3IfP,,1,bloodhound,German_shepherd,malinois,152,65,2015-11-16 03:22:39+00:00,,9.0
666099513787052032,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C,,1,Lhasa,Shih-Tzu,Dandie_Dinmont,139,57,2015-11-16 03:44:34+00:00,,8.0
